,Route,Distance,Cost,InitialLoad
154,"[0, 40.2, 9.0, 22.0, 23.0, 0.0]",610.4098666339703,3052.0493331698517,20000
155,"[0, 40.2, 9.0, 22.0, 13.0, 2.0, 0.0]",592.0239722744792,2960.119861372396,20000
156,"[0, 40.2, 9.0, 22.0, 13.0, 0.0]",560.0791724913714,2800.3958624568572,20000
157,"[0, 40.2, 9.0, 22.0, 13.0, 21.1, 0.0]",769.293549756998,3846.46774878499,20000
158,"[0, 40.2, 9.0, 22.0, 13.0, 21.2, 0.0]",769.293549756998,3846.46774878499,20000
159,"[0, 40.2, 9.0, 22.0, 21.1, 13.0, 0.0]",631.4242189126388,3157.121094563194,20000
160,"[0, 40.2, 9.0, 22.0, 21.1, 0.0]",586.4562207074235,2932.281103537118,20000
161,"[0, 40.2, 9.0, 22.0, 21.1, 34.0, 0.0]",673.5229192961272,3367.6145964806356,20000
162,"[0, 40.2, 9.0, 22.0, 21.2, 34.0, 0.0]",673.5229192961272,3367.6145964806356,20000
163,"[0, 40.2, 9.0, 22.0, 21.2, 0.0]",586.4562207074235,2932.281103537118,20000
164,"[0, 40.2, 9.0, 22.0, 21.2, 13.0, 0.0]",631.4242189126388,3157.121094563194,20000
165,"[0, 40.2, 9.0, 22.0, 0.0]",512.118320313263,2560.591601566315,20000
166,"[0, 40.2, 9.0, 22.0, 36.0, 13.0, 0.0]",607.3881495817186,3036.940747908593,20000
167,"[0, 40.2, 9.0, 22.0, 34.0, 2.0, 0.0]",624.2603885708913,3121.3019428544567,20000
168,"[0, 40.2, 9.0, 22.0, 34.0, 21.2, 0.0]",757.2607494344627,3786.3037471723137,20000
169,"[0, 40.2, 9.0, 22.0, 34.0, 21.1, 0.0]",757.2607494344627,3786.3037471723137,20000
170,"[0, 40.2, 9.0, 22.0, 34.0, 22.0, 0.0]",695.8223692615645,3479.111846307823,20000
171,"[0, 40.2, 9.0, 22.0, 34.0, 22.0, 34.0, 0.0]",795.7108315109883,3978.5541575549414,20000
172,"[0, 40.2, 9.0, 22.0, 34.0, 13.0, 2.0, 0.0]",715.9619697754101,3579.8098488770506,20000
173,"[0, 40.2, 9.0, 22.0, 34.0, 13.0, 0.0]",684.0171699923023,3420.0858499615115,20000
174,"[0, 40.2, 9.0, 22.0, 34.0, 23.0, 0.0]",676.3893654656051,3381.9468273280254,20000
175,"[0, 40.2, 9.0, 22.0, 34.0, 0.0]",612.0067825626868,3060.0339128134337,20000
176,"[0, 40.2, 9.0, 23.0, 2.0, 0.0]",467.0848989812177,2335.4244949060885,20000
177,"[0, 40.2, 9.0, 23.0, 0.0]",425.62979796880313,2128.148989844016,20000
178,"[0, 40.2, 9.0, 34.0, 2.0, 0.0]",447.4518745769422,2237.259372884711,20000
179,"[0, 40.2, 9.0, 34.0, 21.2, 21.1, 0.0]",580.4522354405135,2902.2611772025675,20000
180,"[0, 40.2, 9.0, 34.0, 21.2, 22.0, 0.0]",580.5299920010557,2902.6499600052784,20000
181,"[0, 40.2, 9.0, 34.0, 21.2, 0.0]",580.4522354405135,2902.2611772025675,20000
182,"[0, 40.2, 9.0, 34.0, 21.2, 2.0, 0.0]",580.7496217504788,2903.748108752394,20000
183,"[0, 40.2, 9.0, 34.0, 21.2, 13.0, 2.0, 0.0]",657.3650334288366,3286.825167144183,20000
184,"[0, 40.2, 9.0, 34.0, 21.2, 13.0, 0.0]",625.4202336457288,3127.101168228644,20000
185,"[0, 40.2, 9.0, 34.0, 21.1, 22.0, 0.0]",580.5299920010557,2902.6499600052784,20000
186,"[0, 40.2, 9.0, 34.0, 21.1, 13.0, 2.0, 0.0]",657.3650334288366,3286.825167144183,20000
187,"[0, 40.2, 9.0, 34.0, 21.1, 13.0, 0.0]",625.4202336457288,3127.101168228644,20000
188,"[0, 40.2, 9.0, 34.0, 21.1, 2.0, 0.0]",580.7496217504788,2903.748108752394,20000
189,"[0, 40.2, 9.0, 34.0, 21.1, 0.0]",580.4522354405135,2902.2611772025675,20000
190,"[0, 40.2, 9.0, 34.0, 21.1, 21.2, 0.0]",580.4522354405135,2902.2611772025675,20000
191,"[0, 40.2, 9.0, 34.0, 22.0, 2.0, 0.0]",519.2457258528917,2596.2286292644585,20000
192,"[0, 40.2, 9.0, 34.0, 22.0, 13.0, 2.0, 0.0]",598.9195072288317,2994.5975361441583,20000
193,"[0, 40.2, 9.0, 34.0, 22.0, 13.0, 0.0]",566.9747074457239,2834.873537228619,20000
194,"[0, 40.2, 9.0, 34.0, 22.0, 21.1, 0.0]",593.351755661776,2966.75877830888,20000
195,"[0, 40.2, 9.0, 34.0, 22.0, 21.2, 0.0]",593.351755661776,2966.75877830888,20000
196,"[0, 40.2, 9.0, 34.0, 22.0, 0.0]",519.0138552676154,2595.069276338077,20000
197,"[0, 40.2, 9.0, 34.0, 22.0, 34.0, 2.0, 0.0]",631.1559235252438,3155.779617626219,20000
198,"[0, 40.2, 9.0, 34.0, 22.0, 34.0, 21.2, 0.0]",764.1562843888152,3820.7814219440756,20000
199,"[0, 40.2, 9.0, 34.0, 22.0, 34.0, 21.1, 0.0]",764.1562843888152,3820.7814219440756,20000
